League	Team Name	Date Added	Team Type	&nbsp;	&nbsp;	&nbsp;	
Slaughter County Roller Vixens	All Stars	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Slaughter County Roller Vixens	Death Rattle Rollers	12-20-07	League	&nbsp;	&nbsp;	&nbsp;	
Slaughter County Roller Vixens	TerrorMedixxx	08-20-08	League	&nbsp;	&nbsp;	&nbsp;	
Slaughterhouse Derby Girls	Slaughterhouse Derby Girls	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Smog City Roller Grrls	Derby Diablas	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Smog City Roller Grrls	Tiara Terrors	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
So Cal Junior Rollergirls	So Cal Junior Rollergirls	9-13-2010	League	&nbsp;	&nbsp;	&nbsp;	
Solent Roller Derby League	Solent Sirens	9-21-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Sonoma County Roller Derby	Wine Country Homewreckers	02-14-08	A Travel	&nbsp;	&nbsp;	&nbsp;	
Sonoma County Roller Derby	North Bay Bruisers	05-04-07	B Travel	&nbsp;	&nbsp;	&nbsp;	
Soul City Sirens	Atomic Annies	03-05-08	League	&nbsp;	&nbsp;	&nbsp;	
Soul City Sirens	Rock-A-Betties	03-05-08	League	&nbsp;	&nbsp;	&nbsp;	
South Bay Derby Mizfitz	South Bay Derby Mizfitz	05-21-10	League	&nbsp;	&nbsp;	&nbsp;	
South Coast Roller Derby	SCRD All-Stars	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
South Coast Roller Derby	Lagunatics	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
South County Derby Girls	South County Derby Girls	06-16-10	League	&nbsp;	&nbsp;	&nbsp;	
South Florida Rollergirls	South Florida Rollergirls	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
South Jersey Derby Girls	All-Stars	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
South Jersey Derby Girls	Rollin Barren Bandits	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
South Jersey Derby Girls	Big Rig Betties	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Southland Slashers	Southland Slashers	06-13-11	League	&nbsp;	&nbsp;	&nbsp;	
South Sea Roller Derby	South Sea Sirens	11-23-10	Travel	&nbsp;	&nbsp;	&nbsp;	
South Sea Roller Derby	The Dolly Rogers	11-23-10	League	&nbsp;	&nbsp;	&nbsp;	
South Sea Roller Derby	The Cutthroat Charmers	11-23-10	League	&nbsp;	&nbsp;	&nbsp;	
South Side Roller Derby	Disorderly Conduct	06-09-08	League	&nbsp;	&nbsp;	&nbsp;	
South Side Roller Derby	Las Muerta	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
South Side Roller Derby	MobStars	06-09-08	League	&nbsp;	&nbsp;	&nbsp;	
South Side Roller Derby	Kung Pow Kitties	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
South Side Roller Derby	South Side Girls	06-09-08	Travel	&nbsp;	&nbsp;	&nbsp;	
South Side Roller Derby	South Side Fresh Meat	03-12-09	League	&nbsp;	&nbsp;	&nbsp;	
South Simcoe Roller Rebels	South Simcoe Roller Rebels	03-24-11	League	&nbsp;	&nbsp;	&nbsp;	
South Sound Sk8rgirls	Axle Roses	12-06-10	League	&nbsp;	&nbsp;	&nbsp;	
South Texas Rollersitas	Fall Out Brigade	05-09-07	League	&nbsp;	&nbsp;	&nbsp;	
South Texas Rollersitas	Traumakazies	05-17-07	League	&nbsp;	&nbsp;	&nbsp;	
South Texas Rollersitas	NerdCore Harlots	08-03-10	League	&nbsp;	&nbsp;	&nbsp;	
Southern Oregon Roller Derby	Derby Queens	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
League	&nbsp;		&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Southern Oregon Roller Derby	Derby Kings	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
League	&nbsp;		&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Southern Oregon Roller Derby	Derby Princesses	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
League	&nbsp;		&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Southern Oregon Roller Derby	Ladies In Waiting	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Southern Oregon Rollergirls	Southern Oregon Rollergirls	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Spartanburg County Roller Derby	Sparkle City Rollers	10-21-10	League	&nbsp;	&nbsp;	&nbsp;	
Spindletop Rollergirls	Spindletop Rollergirls	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Spokannibles	Spokannibles	04-07-11	League	&nbsp;	&nbsp;	&nbsp;	
Spokane's Outlawed Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Springfield Rollergirls	Springfield All Stars	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Springfield Rollergirls	Battle Broads	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Springfield Rollergirls	Bitter Betsy's	11-11-07	League	&nbsp;	&nbsp;	&nbsp;	
Springfield Rollergirls	Doomzday Dollz	11-11-07	League	&nbsp;	&nbsp;	&nbsp;	
Star City Rollers	Star City Rollers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
State College Area Rollers	State College Area Rollers	11-15-10	League	&nbsp;	&nbsp;	&nbsp;	
Stateline Roller Derby Divas	Stateline Roller Derby Divas	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Steel City Derby Demons	Steel Hurtin'	10-15-08	A Travel	&nbsp;	&nbsp;	&nbsp;	
Steel City Derby Demons	B-Unit	10-15-08	B Travel	&nbsp;	&nbsp;	&nbsp;	
Steel City Derby Demons	Blitzburgh Bombers	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Sthlm Bstrds	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Stockholm Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Stockton Derby Dames	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Strong Island Derby Revolution	Strong Island Derby Revolution	6-16-2011	League	&nbsp;	&nbsp;	&nbsp;	
Stuttgart Valley Rollergirlz	Stuttgart Valley Rollergirlz	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Suburbia Roller Derby	Suburban Brawl	03-03-08	A Travel	&nbsp;	&nbsp;	&nbsp;	
Suburbia Roller Derby	Backyard Bullies	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Sugar Beaters	Sugar Beaters	01-27-11	League	&nbsp;	&nbsp;	&nbsp;	
Summit City Rollers	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Sumter Fly Girls	Sumter Fly Girls	05-19-11	League	&nbsp;	&nbsp;	&nbsp;	
Sun City Roller Girls	Las Catrinas	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Sun City Roller Girls	Las Pistoleras	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Sun City Roller Girls	Chuco Town Chulas	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Sun City Roller Girls	Texas Knock Outs	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Sun State Roller Girls	Golden Roughs	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Sun State Roller Girls	Liquorice Short Shorts	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Sun State Roller Girls	Violent Rumbles	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Swamp City Roller Rats	Swamp City Roller Rats	06-09-11	League	&nbsp;	&nbsp;	&nbsp;	
Swansea City Slayers	Swansea City Slayers	04-19-10	League	&nbsp;	&nbsp;	&nbsp;	
Sweet Union Roller Girls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Swindon Rail Road Rebels Roller Derby	Rail Road Rebels	01-22-11	League	&nbsp;	&nbsp;	&nbsp;	
SWM Roller Girls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Sydney Roller Derby	Sydney City Assassins	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Sydney Roller Derby	Sydney City CBD'viants	05-10-09	League	&nbsp;	&nbsp;	&nbsp;	
Sydney Roller Derby	Screaming Assault Sirens	05-10-09	League	&nbsp;	&nbsp;	&nbsp;	
Syndicate Roller Girls	Syndicate Roller Girls	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Syndicate Roller Girls	Terrible Traceys	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Syndicate Roller Girls	Bazooka Betties	12-11-08	League	&nbsp;	&nbsp;	&nbsp;	
Tahoe Derby Dames	Tahoe Derby Dames	6-10-2010	League	&nbsp;	&nbsp;	&nbsp;	
Tall City Roller Betties	Deadly Dames	3-22-2010	Leauge	&nbsp;	&nbsp;	&nbsp;	
Tall City Roller Betties	Pumpjack Riders	&nbsp;	Leauge	&nbsp;	&nbsp;	&nbsp;	
Tallahassee Rollergirls	Capital Punishment	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Tallahassee Rollergirls	Jailbreak Betties	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Tampa Bay Derby Darlins	Black Widows	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Tampa Bay Derby Darlins	Cigar City Mafia	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Tampa Bay Derby Darlins	Quad Killers	12-05-07	League	&nbsp;	&nbsp;	&nbsp;	
Tampa Bay Derby Darlins	Switchblade Sisters	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Tampa Bay Derby Darlins	Tampa Tantrums	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Tampa Bay Derby Darlins	Vice Grip Vixens	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Tampa Bay Derby Darlins	Aces on 8	4-19-2010	League	&nbsp;	&nbsp;	&nbsp;	
Tampa Bay Derby Darlins	Sandy Clams	5-13-2010	League	&nbsp;	&nbsp;	&nbsp;	
Tampa Bay Derby Darlins	Tampa Bay Bruise Crew	5-13-2010	League	&nbsp;	&nbsp;	&nbsp;	
Tampere Rollin' Hos	Tampere Rollin' Hos	12-6-2010	League	&nbsp;	&nbsp;	&nbsp;	
Taranaki Roller Corps	Sin-Derellas	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Terminal City Rollergirls	Bad Reputations	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Terminal City Rollergirls	Faster Pussycats	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Terminal City Rollergirls	All Stars	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Terminal City Rollergirls	Public Frenemy	12-10-2010	League	&nbsp;	&nbsp;	&nbsp;	
Terminal City Rollergirls	Riot Girls	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Terrassa Derby Rockets	Terrassa Derby Rockets	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Texas Rollergirls	Hell Marys	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Texas Rollergirls	Honkytonk Heartbreakers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Texas Rollergirls	Hotrod Honeys	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Texas Rollergirls	Hustlers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Texas Rollergirls	Texecutioners	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Texas Rollergirls	Rec League	&nbsp;	Recreational	&nbsp;	&nbsp;	&nbsp;	
The Imposters Roller Girls	The Imposters Roller Girls	10-13-2010	League	&nbsp;	&nbsp;	&nbsp;	
Tilted Thunder Rail Birds	Royal Crush	2-7-2011	League	&nbsp;	&nbsp;	&nbsp;	
Tilted Thunder Rail Birds	Sugar Skulls	2-7-2011	League	&nbsp;	&nbsp;	&nbsp;	
Tilted Thunder Rail Birds	Rolling Blackouts	2-7-2011	League	&nbsp;	&nbsp;	&nbsp;	
Tilted Thunder Rail Birds	Saint Hellions	2-7-2011	League	&nbsp;	&nbsp;	&nbsp;	
Toowoomba City Rollers	Toowoomba City Rollers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Toronto Roller Derby	Chicks Ahoy!	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Toronto Roller Derby	CN Power	05-13-08	Travel	&nbsp;	&nbsp;	&nbsp;	
Toronto Roller Derby	Death Track Dolls	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Toronto Roller Derby	Gore-Gore Rollergirls	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Toronto Roller Derby	Smoke City Betties	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Torpedo Bay Rollergirls	Torpedo Bay Rollergirls	03-01-11	League	&nbsp;	&nbsp;	&nbsp;	
Toxic 253	Toxic 253	05-27-11	League	&nbsp;	&nbsp;	&nbsp;	
Toxic Lima City Rollergirls	Toxic Lima City Rollergirls	05-18-10	League	&nbsp;	&nbsp;	&nbsp;	
Tragic City Rollers	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Traverse City Roller Derby	Traverse City Toxic Cherries	01-03-11	League	&nbsp;	&nbsp;	&nbsp;	
Treasure Coast Rollergirls	Slick Traceys	11-28-07	League	&nbsp;	&nbsp;	&nbsp;	
Treasure Coast Rollergirls	Treasure Coast Terrors	11-28-07	Travel	&nbsp;	&nbsp;	&nbsp;	
Treasure Coast Rollergirls	Zoot Suit Riot Grrrls	04-17-08	League	&nbsp;	&nbsp;	&nbsp;	
Treasure Valley Rollergirls	Treasure Valley Rollergirls	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Treasure Valley Rollergirls	Capital Punishers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Treasure Valley Rollergirls	Grove Street Gang	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Tri City Roller Girls	TCRG Thunder	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Tri City Roller Girls	Venus Fly Tramps (Cleared)	04-21-08	League	&nbsp;	&nbsp;	&nbsp;	
Tri City Roller Girls	Vicious Dishes	02-14-08	League	&nbsp;	&nbsp;	&nbsp;	
Tri-County Roller Militia	Jade Grenades	02-13-11	League	&nbsp;	&nbsp;	&nbsp;	
Tri-County Roller Militia	Atomic Hellkatz	02-13-11	League	&nbsp;	&nbsp;	&nbsp;	
Tri-County Roller Militia	Drop Dead Derby Dolls	02-13-11	League	&nbsp;	&nbsp;	&nbsp;	
Triad Rollergirls	Slick Sisters	03-05-07	League	&nbsp;	&nbsp;	&nbsp;	
Triple Sword Roller Girls	Triple Sword Roller Girls	04-05-09	League	&nbsp;	&nbsp;	&nbsp;	
Tucson Men's Derby<br> &nbsp;&nbsp;+ Dry Heat Militia	Dry Heat Militia	6-22-2011	League	&nbsp;	&nbsp;	&nbsp;	
Tucson Roller Derby	Copper Queens	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Tucson Roller Derby	Furious Truckstop Waitresses	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Tucson Roller Derby	Iron Curtain	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Tucson Roller Derby	Saddletramps	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Tucson Roller Derby	VICE Squad	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Twin City Derby Girls	Boneyard Bombshells	4-2-2011	League	&nbsp;	&nbsp;	&nbsp;	
Twin City Derby Girls	The 'Paign	4-2-2011	League	&nbsp;	&nbsp;	&nbsp;	
Twin City Derby Girls	Damagin' Dames	4-2-2011	League	&nbsp;	&nbsp;	&nbsp;	
Twin City Derby Girls	Twin City Travelers	4-2-2011	Travel	&nbsp;	&nbsp;	&nbsp;	
Twin City Terrors	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Twin State Derby	Upper Valley Vixens	3-10-2011	League	&nbsp;	&nbsp;	&nbsp;	
UK Rollergirls	Big Bucks High Rollers	6-21-2011	League	&nbsp;	&nbsp;	&nbsp;	
Ume Roller Radicals	Ume Roller Radicals	6-21-2010	League	&nbsp;	&nbsp;	&nbsp;	
Ukiah Roller Girls	Mendocino Mayhem	04-16-09	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Undead Bettys	Undead Bettys	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Undead Bettys	The Damned Skaters	12-10-10	B-Team	&nbsp;	&nbsp;	&nbsp;	
Underground Derby	Death Dealing Dolls	08-20-10	Travel	&nbsp;	&nbsp;	&nbsp;	
Underground Derby	Back Alley Salls	12-17-10	Travel	&nbsp;	&nbsp;	&nbsp;	
Underground Derby	Uptown Tinas	12-17-10	Travel	&nbsp;	&nbsp;	&nbsp;	
Underground Derby	Oly Outlaws	08-20-10	League	&nbsp;	&nbsp;	&nbsp;	
Underground Derby	Diva Derby Dolls	08-20-10	League	&nbsp;	&nbsp;	&nbsp;	
Underground Derby	Southbay Bombers	08-20-10	League	&nbsp;	&nbsp;	&nbsp;	
Underground Derby	Rolling Regulators	08-20-10	League	&nbsp;	&nbsp;	&nbsp;	
Upper Valley Vixens	Upper Valley Vixens	12-19-10	League	&nbsp;	&nbsp;	&nbsp;	
Upstate Roller Girl Evolution	The Urge	08-28-08	League	&nbsp;	&nbsp;	&nbsp;	
Utica Rollergirls	Hell's Chevelles	05-07-09	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Utica Rollergirls	Moody Bruisers	05-07-09	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Utica Rollergirls	Wreckin' Retro Rollas	05-07-09	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Valkirias Roller Derby	Valkirias Roller Derby	09-06-10	League	&nbsp;	&nbsp;	&nbsp;	
Valley Fever Roller Demons	Heathens	07-04-08	League	&nbsp;	&nbsp;	&nbsp;	
Valley Fever Roller Demons	Marauders	07-04-08	League	&nbsp;	&nbsp;	&nbsp;	
Valley Fever Roller Demons	Vengeance	07-04-08	League	&nbsp;	&nbsp;	&nbsp;	
Valley Fever Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Van Diemen Rollers	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Vendetta Vixens	Vendetta Vixens	02-10-11	League	&nbsp;	&nbsp;	&nbsp;	
Ventura County Derby Darlins	Vendolls	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Ventura County Derby Darlins	Battalion of Skates	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Vero Vixens	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Vette City Roller Derby	Vette City Vixens	08-20-10	A Travel	&nbsp;	&nbsp;	&nbsp;	
Vette City Roller Derby	Bowling Green Hot Broads	08-20-10	B Travel	&nbsp;	&nbsp;	&nbsp;	
Viagros	Viagros	01-11-11	League	&nbsp;	&nbsp;	&nbsp;	
Victoria Rollergirls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Victorian Roller Derby League	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Voodoo Vixens	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Vtown Derby Dames	V Town Derby Dames	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Vtown Derby Dames	V Town Derby Darlins	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Wakey Wheeled Cats Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Wasatch Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Wayward Rollergirls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
West Coast Derby Knockouts	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
West Texas Roller Dollz	Killer Kandy Strypers	07-27-08	League	&nbsp;	&nbsp;	&nbsp;	
West Texas Roller Dollz	Poison Ivy League	08-08-08	League	&nbsp;	&nbsp;	&nbsp;	
West Texas Roller Dollz	Scrappy Campers	07-27-08	League	&nbsp;	&nbsp;	&nbsp;	
West Texas Roller Dollz	Skatins Angels	08-08-08	Travel	&nbsp;	&nbsp;	&nbsp;	
West Texas Roller Dollz	West Texas Roller Dollz	09-27-07	League	&nbsp;	&nbsp;	&nbsp;	
West Virginia Hell Bettys	West Virginia Hell Bettys	05-27-11	League	&nbsp;	&nbsp;	&nbsp;	
West Virginia RollerGirls	Coal Miners Daughters	02-13-07	League	&nbsp;	&nbsp;	&nbsp;	
Western New Jersey Outlaws	Morristown Madams	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Western Sydney Rollers	Riff Wreck n’ Rollers	12-08-08	League	&nbsp;	&nbsp;	&nbsp;	
Whidbey Island Rollergirls	Wicked Wenches	4-20-2010	League	&nbsp;	&nbsp;	&nbsp;	
Whiskey Row-llers	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
White Pines Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Wisconsin River Valley Rollergirls	Femme Fatales	8-13-2010	League	&nbsp;	&nbsp;	&nbsp;	
Wisconsin River Valley Rollergirls	Dead Girls	4-17-2010	League	&nbsp;	&nbsp;	&nbsp;	
Windsor Roller Girls	Who Dare Windsor	03-04-09	League	&nbsp;	&nbsp;	&nbsp;	
Windsor Roller Girls	Ladies in Hatin	03-04-09	League	&nbsp;	&nbsp;	&nbsp;	
Windsor Roller Girls	Queens of the Roll Rage	03-04-09	League	&nbsp;	&nbsp;	&nbsp;	
Windy City Rollers	WCR All-Stars	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Windy City Rollers	Second Wind	&nbsp;	B Travel	&nbsp;	&nbsp;	&nbsp;	
Windy City Rollers	Double Crossers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Windy City Rollers	Fury	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Windy City Rollers	Hell's Belles	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Windy City Rollers	Manic Attackers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Windy City Rollers	Haymarket Rioters	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Winnipeg Rink Rats	Winnipeg Rink Rats	8-20-2010	League	&nbsp;	&nbsp;	&nbsp;	
Winnipeg Roller Derby League	Murder City Maidens	8-11-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Winnipeg Roller Derby League	Backseat Betties	8-11-2010	League	&nbsp;	&nbsp;	&nbsp;	
Winnipeg Roller Derby League	The Corporation	8-11-2010	League	&nbsp;	&nbsp;	&nbsp;	
Winnipeg Roller Derby League	Valkyries Wrath	8-11-2010	League	&nbsp;	&nbsp;	&nbsp;	
Wirral Whipiteres	Wirral Whipiteres	3-3-2011	League	&nbsp;	&nbsp;	&nbsp;	
Wollongong Illawarra Roller Derby	Wollongong Illawarra Roller Derby	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Wreckin' Roller Rebels	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
WV Dixie Derby Dolls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Zürich City Rollergirlz	Divas de los Muertos	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
